pk;fk_dane_przedsiębiorstw;miejscowosc;ulica;numer_mieszkania;kod_pocztowy;nip;numer_telefonu;email;regon;województwo;powiat;gmina
1;1;Gołębiów;ul. Majkowskiego Aleksandra (Doktora Aleksandra Majkowskiego);174;42-360;608-895-98-84;498 581 962 122;nuderunokifatavuzu1otynaxugomiqo@t0fe5idip.pl;656636362;opolskie;lipnowski;Siewierz
2;2;Rutkowice;ul. Świętego Brata Alberta;233;86-307;121-65-91-210;417034652;nyjezele9uha1yhowyvimajyfaxuzegi@qodozomek4jozaq2q3sywofiz9k0rude.pl;294835373;mazowieckie;lubiński;Cewice
3;3;Przewłoka;ul. Marmurowa;82;13-220;557-43-73-1710;194 481867236;my@6u6uwyvesywykitomocekitihikefovybijibozesyjorabuxavy.pl;784066207;wielkopolskie;m. Tychy;M. Lublin
4;4;Nieborzyn;ul. Kacza;286;98-290;628-479-51-95;322 363 191 103;zoc71@xevyfutif0kucyf.pl;247169207;kujawsko-pomorskie;m. Szczecin;Strachówka
5;5;Mochle;ul. Konarskiego Stanisława;193;05-077;835-91-29-415;146 504 119;bo.ytarepyqela7ezap5sizyve7oluk@cife1e.pl;50309116842741;mazowieckie;m. st. Warszawa;M. Bydgoszcz
6;6;Opinogóra Górna;ul. Moniuszki Stanisława;39;41-800;117-353-66-63;+678 535180025;kavovu3yp0duhidimasov6@wyruhyra3ibovetujysykoge4osihuz6quq5.pl;562628407;dolnoŚląskie;koniński;M. Rzeszów
7;7;Brodowa Góra;ul. Rokitniańska;120;81-919;915-14-47-620;+304 823 168 340;hamutazacudiwud05a4ylodig@lasepawiny7utyf2xezorihuto8omo2ifijiqetos2.pl;76478303452374;mazowieckie;polkowicki;M. Łódź
8;8;Bydgoszcz;ul. Miarki Karola;26;72-221;195-132-28-38;+176 850964957;sak7hajycobobegapocizyzu@botyjosekekywozonekun3hu7uc1qowifu8ive9a56gavuzeruzopyvonup.pl;188225130;łódzkie;m. Lublin;Mykanów
9;9;Józefów;ul. Z. Kościńskiego;95;58-562;624-17-19-339;696 392 060;nak2joga@qohevoriqopasyhyvyzunemu6ehudu08q5jycewixuky.pl;185161818;kujawsko-pomorskie;Średzki;Chorzele
10;10;Władysławowo;ul. Staffa Leopolda;168;05-085;781-882-18-84;702 941-022-296;8ybohe2ejeryrofy@mapopu3emirejon.pl;359093795;wielkopolskie;dębicki;Radomin
11;1;Modryń-Kolonia;ul. Zaciszna;35;85-001;374-214-85-15;+469 497-428-903;serovyfelirumicufynuxu@3az5liraz.pl;95619930560063;warmińsko-mazurskie;tomaszowski;M. st. Warszawa
12;1;Olsztyn;ul. Rabatki;280;74-120;258-179-49-78;827093021;1i5azyhujiji01wotudesa@4a.pl;52597403127730;dolnośląskie;m. Katowice;Brańsk
13;2;Goruszów;ul. Kaliska;247;03-578;109-26-59-232;+601 778960230;seno2oluhip5gucimec9sohuvys@6onylikaxe0ori5e-afupiqetyluwilabu-erez39ocetypimykihito.pl;436018507;wielkopolskie;czêstochowski;Przerośl
14;2;Poznań;ul. Toruńska;96;86-105;421-61-93-617;507-248-990;1osazad.jusisymomasi3ahize@6ejepuhizepe8e4ujuvodu-emad6kekymi.pl;64152464317452;śląskie;sochaczewski;M. Bielsko-Biała
15;4;Wałbrzych;ul. Staszica Stanisława;183;02-203;747-66-92-632;169 303 057;ficixa2osegolodacu@1ozimaposydyhun2jynapuw0lukumysuxy8irypeh8c1zojaquz.pl;290070451;mazowieckie;pleszewski;Wilamowice
16;5;Jaworzno;ul. Poziomkowa;240;61-441;306-65-31-1310;184 363 456 591;bypebesetywis5de@nelogosiqafanugufuly41we.pl;225425440;mazowieckie;pabianicki;Bobolice
17;5;Rybnik;ul. Partyzantów;227;04-608;567-471-14-93;833635379;fogifebod@4efusyv2.pl;80200348226041;mazowieckie;m. Włocławek;Kłaj
18;7;Wylan;ul. Galileusza;6;70-767;769-738-22-26;+734 763987997;qyny.ovonop@4udyp.pl;70640946889285;śląskie;wodzisławski;świecie
19;9;Jasieniec Solecki;ul. Zaciszna;156;02-760;151-28-88-348;162 014 095;relerudugojozod9rav@jyd7k75ytesedyzy3umyjalupyryso.pl;88180738331385;warmińsko-mazurskie;m. Grudziądz;M. Bielsko-Biała
20;8;Kozielsko;ul. Nasypowa;3;45-527;245-43-97-449;842-384-242;ne1imocuz5toky@ci5yl0s1k4bukejisi9i0acyzany.pl;271714851;mazowieckie;zawierciański;M. Kraków
