
1;Gołębiów;ul. Majkowskiego Aleksandra (Doktora Aleksandra Majkowskiego);174;42-360;608-895-98-84;507-244-204;nuderunokifatavuzu1otynaxugomiqo@t0fe5idip.pl;656636362;Medcom;opolskie;lipnowski;Siewierz
2;Rutkowice;ul. Świętego Brata Alberta;233;86-307;121-65-91-210;621-651-020;nyjezele9uha1yhowyvimajyfaxuzegi@qodozomek4jozaq2q3sywofiz9k0rude.pl;294835373;Metalwork Inc;mazowieckie;lubiński;Cewice
3;Przewłoka;ul. Marmurowa;82;13-220;557-43-73-1710;907-034-109;my@6u6uwyvesywykitomocekitihikefovybijibozesyjorabuxavy.pl;784066207;FastCode;wielkopolskie;m. Tychy;M. Lublin
4;Nieborzyn;ul. Kacza;286;98-290;628-479-51-95;737-011-412;zoc71@xevyfutif0kucyf.pl;247169207;Metal and Steel Inc;kujawsko-pomorskie;m. Szczecin;Strachówka
5;Mochle;ul. Konarskiego Stanisława;193;05-077;835-91-29-415;273-059-001;bo.ytarepyqela7ezap5sizyve7oluk@cife1e.pl;50309116842741;LubMat;mazowieckie;m. st. Warszawa;M. Bydgoszcz
6;Opinogóra Górna;ul. Moniuszki Stanisława;39;41-800;117-353-66-63;108-707-554;kavovu3yp0duhidimasov6@wyruhyra3ibovetujysykoge4osihuz6quq5.pl;562628407;WarMarkt;dolnośląskie;koniński;M. Rzeszów
7;Brodowa Góra;ul. Rokitniańska;120;81-919;915-14-47-620;634-732-618;hamutazacudiwud05a4ylodig@lasepawiny7utyf2xezorihuto8omo2ifijiqetos2.pl;76478303452374;Dynamo;mazowieckie;polkowicki;M. Łódź
8;Bydgoszcz;ul. Miarki Karola;26;72-221;195-132-28-38;718-047-247;sak7hajycobobegapocizyzu@botyjosekekywozonekun3hu7uc1qowifu8ive9a56gavuzeruzopyvonup.pl;188225130;FastAssembler;łódzkie;m. Lublin;Mykanów
9;Józefów;ul. Z. Kościńskiego;95;58-562;624-17-19-339;798-707-024;nak2joga@qohevoriqopasyhyvyzunemu6ehudu08q5jycewixuky.pl;185161818;ExtraCodeWorkers;kujawsko-pomorskie;Średzki;Chorzele
10;Władysławowo;ul. Staffa Leopolda;168;05-085;781-882-18-84;683-455-810;8ybohe2ejeryrofy@mapopu3emirejon.pl;359093795;PHPService;wielkopolskie;dębicki;Radomin
