pk;fk_sprzedaż;fk_dostawca;fk_przesunięcie_magazynowe;data_wystawienia;data_przyjęcia_do_przewozu;sposób_pakowania;waga;rodzaj_towaru;koszt_wysyłki_netto;koszt_wysyłki_brutto
1;1;1;NULL;03.02.2020;03.02.2020;folia;100kg;podzespoły elektroniczne;100zł;123zł
2;2;2;NULL;16.02.2020;16.02.2020;folia;100kg;podzespoły elektroniczne;100zł;123zł
3;3;3;NULL;17.02.2020;17.02.2020;folia;100kg;podzespoły elektroniczne;100zł;123zł
4;4;4;NULL;21.02.2020;21.02.2020;folia;100kg;podzespoły elektroniczne;100zł;123zł
5;5;5;NULL;03.03.2020;03.03.2020;folia;100kg;podzespoły elektroniczne;100zł;123zł
6;NULL;6;1;2019-06-29 09:12:15;2019-06-29 12:16:02;folia;178kg;podzespoły elektroniczne;100zł;123zł
7;NULL;7;2;2018-08-08 23:13:03;2018-08-09 12:17:15;folia;196kg;podzespoły elektroniczne;100zł;123zł
8;NULL;8;3;2020-02-12 07:30:41;2020-02-12 12:11:32;folia;303kg;podzespoły elektroniczne;100zł;123zł
9;NULL;1;4;2018-12-07 04:56:20;2018-12-07 12:14:17;folia;402kg;podzespoły elektroniczne;100zł;123zł
10;NULL;2;5;2020-12-09 15:20:58;2020-12-10 12:13:19;folia;290kg;podzespoły elektroniczne;100zł;123zł




